[CRITICAL] 2025-02-10T06:33:48.474Z | Module: auth | CORE_JWT_ERROR | Invalid authModuleSecret for skipJWT event "issueModuleToken" (module='auth')
[CRITICAL] 2025-02-10T06:57:49.283Z | Module: auth | CORE_JWT_ERROR | Invalid authModuleSecret for skipJWT event "issueModuleToken" (module='auth')
[CRITICAL] 2025-02-10T07:10:14.496Z | Module: auth | CORE_JWT_ERROR | Invalid authModuleSecret for skipJWT event "issueModuleToken" (module='auth')
[CRITICAL] 2025-02-12T12:07:39.341Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getCmsMode" has no JWT
[CRITICAL] 2025-02-12T12:39:59.705Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getCmsMode" has no JWT
[CRITICAL] 2025-02-12T13:46:07.483Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getCmsMode" has no JWT
[CRITICAL] 2025-02-12T13:48:12.596Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getCmsMode" has no JWT
[CRITICAL] 2025-02-12T13:48:20.380Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getCmsMode" has no JWT
[CRITICAL] 2025-02-13T11:27:32.540Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getCmsMode" has no JWT
[CRITICAL] 2025-03-04T08:54:03.948Z | Module: userManagement | CORE_JWT_ERROR | Unauthorized skipJWT usage for event "createUser" by module "userManagement"
[CRITICAL] 2025-03-04T11:05:10.317Z | Module: userManagement | CORE_JWT_ERROR | Unauthorized skipJWT usage for event "createUser" by module "userManagement"
[CRITICAL] 2025-03-04T13:36:04.037Z | Module: settingsManager | CORE_JWT_ERROR | Core event "getSetting" has no JWT
[CRITICAL] 2025-03-09T16:26:54.043Z | Module: userManagement | CORE_JWT_ERROR | Invalid JWT for "getUserDetailsById" => jwt malformed
[CRITICAL] 2025-03-10T12:50:35.489Z | Module: userManagement | CORE_JWT_ERROR | Unauthorized skipJWT usage for event "issueModuleToken" by module "userManagement"
[CRITICAL] 2025-03-10T13:00:25.725Z | Module: userManagement | CORE_JWT_ERROR | Unauthorized skipJWT usage for event "issueModuleToken" by module "userManagement"
[CRITICAL] 2025-03-10T13:00:48.087Z | Module: userManagement | CORE_JWT_ERROR | Unauthorized skipJWT usage for event "issueModuleToken" by module "userManagement"
[CRITICAL] 2025-03-10T13:01:21.125Z | Module: userManagement | CORE_JWT_ERROR | Unauthorized skipJWT usage for event "issueModuleToken" by module "userManagement"
[CRITICAL] 2025-03-10T13:12:17.297Z | Module: userManagement | CORE_JWT_ERROR | Invalid JWT for "getUserDetailsById" => jwt malformed
[CRITICAL] 2025-03-10T13:12:32.695Z | Module: userManagement | CORE_JWT_ERROR | Invalid JWT for "getUserDetailsById" => jwt malformed
[CRITICAL] 2025-03-10T13:30:33.082Z | Module: userManagement | CORE_JWT_ERROR | Invalid JWT for "getUserDetailsById" => jwt malformed
[CRITICAL] 2025-03-10T14:29:46.941Z | Module: auth | CORE_JWT_ERROR | Invalid JWT for "validateToken" => jwt expired
[CRITICAL] 2025-03-10T14:29:48.452Z | Module: auth | CORE_JWT_ERROR | Invalid JWT for "validateToken" => jwt expired
[CRITICAL] 2025-03-10T14:29:49.412Z | Module: auth | CORE_JWT_ERROR | Invalid JWT for "validateToken" => jwt expired
[CRITICAL] 2025-03-10T14:29:50.550Z | Module: auth | CORE_JWT_ERROR | Invalid JWT for "validateToken" => jwt expired
[CRITICAL] 2025-03-10T14:35:17.704Z | Module: auth | CORE_JWT_ERROR | Invalid JWT for "validateToken" => jwt expired
[CRITICAL] 2025-03-10T14:35:32.400Z | Module: auth | CORE_JWT_ERROR | Invalid JWT for "validateToken" => jwt expired
[CRITICAL] 2025-03-13T08:19:55.748Z | Module: dependencyLoader | CORE_JWT_ERROR | Core event "performDbOperation" has no JWT
[CRITICAL] 2025-03-15T11:58:00.252Z | Module: userManagement | CORE_JWT_ERROR | Core event "dbSelect" has no JWT
[CRITICAL] 2025-04-11T13:35:04.883Z | Module: userManagement | CORE_JWT_ERROR | Core event "userLogin" has no JWT
